playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID,stint,Glf,Gcf,Grf,age
aaronha01,1934,2,5,USA,AL,Mobile,Hank,Aaron,Henry Louis,180,72,R,R,4/13/1954,10/3/1976,aaroh101,aaronha01,1955,1,26,0,105,21
aaronha01,1934,2,5,USA,AL,Mobile,Hank,Aaron,Henry Louis,180,72,R,R,4/13/1954,10/3/1976,aaroh101,aaronha01,1954,1,105,0,11,20
abbated01,1877,4,15,USA,PA,Latrobe,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,9/15/1910,abbae101,abbated01,1898,1,0,0,1,21
abbated01,1877,4,15,USA,PA,Latrobe,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,9/15/1910,abbae101,abbated01,1909,1,0,1,0,32
abbated01,1877,4,15,USA,PA,Latrobe,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,9/15/1910,abbae101,abbated01,1905,1,0,1,0,28
abbeych01,1866,10,14,USA,NE,Falls City,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19,abbec101,abbeych01,1893,1,31,0,0,27
abbeych01,1866,10,14,USA,NE,Falls City,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19,abbec101,abbeych01,1894,1,54,74,0,28
abbeych01,1866,10,14,USA,NE,Falls City,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19,abbec101,abbeych01,1897,1,2,1,77,31
abbeych01,1866,10,14,USA,NE,Falls City,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19,abbec101,abbeych01,1895,1,3,98,31,29
abbeych01,1866,10,14,USA,NE,Falls City,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19,abbec101,abbeych01,1896,1,2,11,65,30
abbotod01,1886,9,5,USA,PA,New Eagle,Ody,Abbott,Ody Cleon,165,69,L,R,9/10/1910,10/15/1910,abboo101,abbotod01,1910,1,0,21,0,24
aberscl01,1921,8,28,USA,IL,Chicago,Cliff,Aberson,Clifford Alexander,200,72,R,R,7/18/1947,5/9/1949,aberc101,aberscl01,1947,1,40,0,0,26
aberscl01,1921,8,28,USA,IL,Chicago,Cliff,Aberson,Clifford Alexander,200,72,R,R,7/18/1947,5/9/1949,aberc101,aberscl01,1948,1,8,0,0,27
aberscl01,1921,8,28,USA,IL,Chicago,Cliff,Aberson,Clifford Alexander,200,72,R,R,7/18/1947,5/9/1949,aberc101,aberscl01,1949,1,0,0,1,28
